MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
257749780;0;;;1;18.04.2021 15:19;;;;0;0;0;0;
258003240;0;;;1;18.04.2021 14:27;;;;0;0;0;0;
258003240;0;;;1;18.04.2021 17:54;;;;0;0;0;0;
258133980;0;;;1;18.04.2021 18:55;;;;0;0;0;0;
258152180;0;;;1;18.04.2021 16:47;;;;0;0;0;0;
257051650;0;;;1;19.04.2021 14:15;;;;0;0;0;0;
257346900;0;;NEPTUN;1;19.04.2021 00:31;;;;15;0;0;0;
257346900;0;;NEPTUN;1;19.04.2021 14:30;;;;15;0;0;0;
257535180;0;;;1;19.04.2021 20:00;;;;0;0;0;0;
257051650;0;;;1;20.04.2021 14:45;;;;0;0;0;0;
257824580;0;;;1;20.04.2021 10:45;;;;0;0;0;0;
257904280;0;;;1;20.04.2021 13:46;;;;0;0;0;0;
258133980;0;;;1;20.04.2021 14:54;;;;0;0;0;0;
257968700;0;;;1;17.01.2022 21:31;;;;0;0;0;0;
258329260;0;;;1;20.04.2021 09:00;;;;0;0;0;0;
257347700;0;;LISE;1;21.04.2021 20:30;;;;15;0;0;0;
257347700;0;;LISE;1;21.04.2021 22:00;;;;15;0;0;0;
257045380;0;;EIR;1;23.04.2021 16:33;;;;23;0;0;0;
257938490;0;;;1;23.04.2021 16:31;;;;0;0;0;0;
257034770;0;;;1;24.04.2021 13:30;;;;0;0;0;0;
258141950;0;;;1;24.04.2021 12:00;;;;0;0;0;0;
259030000;0;;;1;24.04.2021 17:45;;;;0;0;0;0;
257346900;0;;NEPTUN;1;28.04.2021 01:01;;;;15;0;0;0;
257346900;0;;NEPTUN;1;28.04.2021 14:00;;;;15;0;0;0;
257490000;0;;;1;28.04.2021 05:15;;;;0;0;0;0;
257502700;0;;;1;28.04.2021 21:00;;;;0;0;0;0;
257753600;0;;;1;28.04.2021 10:15;;;;0;0;0;0;
257753600;0;;;1;28.04.2021 14:15;;;;0;0;0;0;
257800600;0;;;1;28.04.2021 10:16;;;;0;0;0;0;
257800600;0;;;1;28.04.2021 14:15;;;;0;0;0;0;
258006930;0;;;1;28.04.2021 10:15;;;;0;0;0;0;
257346900;0;;NEPTUN;1;26.03.2021 14:16;;;;15;0;0;0;
258992550;0;;;1;28.04.2021 16:00;;;;0;0;0;0;
257346900;0;;NEPTUN;1;29.04.2021 04:30;;;;15;0;0;0;
257346900;0;;NEPTUN;1;29.04.2021 17:00;;;;15;0;0;0;
258202080;0;;;1;29.04.2021 15:46;;;;0;0;0;0;
259030000;0;;;1;29.04.2021 16:30;;;;0;0;0;0;
314546000;0;;;1;29.04.2021 16:45;;;;0;0;0;0;
257006980;0;;;1;30.04.2021 14:15;;;;0;0;0;0;
257502700;0;;;1;30.04.2021 10:15;;;;0;0;0;0;
257504450;0;;;1;30.04.2021 18:46;;;;0;0;0;0;
258137750;0;;;1;30.04.2021 14:00;;;;0;0;0;0;
314546000;0;;;1;30.04.2021 23:30;;;;0;0;0;0;
257042260;0;;;1;01.05.2021 14:06;;;;0;0;0;0;
257050340;0;;;1;01.05.2021 14:00;;;;0;0;0;0;
257694610;0;;;1;01.05.2021 15:00;;;;0;0;0;0;
258003240;0;;;1;01.05.2021 13:15;;;;0;0;0;0;
258003240;0;;;1;01.05.2021 15:17;;;;0;0;0;0;
258129330;0;;;1;01.05.2021 10:00;;;;0;0;0;0;
258202080;0;;;1;01.05.2021 15:30;;;;0;0;0;0;
257504450;0;;;1;02.05.2021 12:46;;;;0;0;0;0;
257694610;0;;;1;02.05.2021 10:27;;;;0;0;0;0;
258006500;0;;;1;02.05.2021 15:30;;;;0;0;0;0;
258129330;0;;;1;02.05.2021 11:46;;;;0;0;0;0;
258137750;0;;;1;02.05.2021 12:23;;;;0;0;0;0;
258588810;0;;;1;02.05.2021 10:00;;;;0;0;0;0;
314543000;0;;;1;02.05.2021 22:15;;;;0;0;0;0;
257065070;0;;;1;03.05.2021 04:18;;;;0;0;0;0;
257511700;0;;;1;03.05.2021 04:15;;;;0;0;0;0;
258993830;0;;;1;03.05.2021 08:31;;;;0;0;0;0;
